Date;Weight
2022-05-04;70.5
2022-05-03;70.8
2022-05-01;70.2
2022-04-30;70
2022-04-29;70.7
2022-03-13;70.5
2022-03-11;70.8
2022-03-09;70.5
2022-02-22;71
2022-02-17;70.4
2022-02-03;70.3
2022-01-30;69.5
2021-11-08;69.1
2021-11-01;68.6
2021-10-17;69.5
2021-10-12;68.9
2021-10-07;69.7
2021-09-30;68.9
2021-09-27;68.8
2021-09-24;69
2021-09-23;69.1
2021-09-22;69.5
2021-07-14;67.1
2021-07-02;68.4
2021-06-29;67.2
2021-06-27;66.5
2021-06-24;67.2
2021-06-23;67.4
2021-06-22;67.4
2021-06-21;67.9
2021-06-20;67.5
2021-06-19;67.2
2021-06-18;67.3
2021-06-17;66.9
2021-06-16;67
2021-06-15;67.6
2021-06-14;67.5
2021-06-12;67.4
2021-06-11;67
2021-06-09;67.8
2020-11-19;68.4
2020-11-13;68.1
2020-10-28;68.3
2020-10-26;68.7
2020-10-25;68.6
2020-10-24;68.9
2020-10-23;68.8
2020-10-21;68.9
2020-10-20;69.1
2020-10-19;68.8
2020-10-18;68.8
2020-10-17;68.7
2020-10-15;68.3
2020-10-14;68.3
2020-10-13;68.1
2020-10-11;68.6
2020-10-10;68.2
2020-10-09;68.1
2020-10-08;68.1
2020-10-06;67.3
2020-10-03;67.7
2020-10-02;67.1
2020-10-01;67.8
2020-09-30;67.7
2020-09-28;68.2
2020-09-24;67.2
2020-09-22;67.5
2020-09-21;67.5
2020-09-15;67.3
2020-09-14;67.1
2020-09-13;67.2
2020-09-12;67
2020-09-10;66.8
2020-09-08;67
2020-09-04;66.4
2020-09-03;66.8
2020-09-02;66.5
2020-09-01;66
2020-08-30;65.5
2020-08-29;65.8
2020-08-17;65.9
2020-08-15;66.3
2020-08-09;66.1
2020-08-06;66.1
2020-08-03;65.9
2020-08-02;65.9
2020-07-29;65.8
2020-07-19;67
2020-07-13;66.6
2020-07-07;66.3
2020-07-06;66.9
2020-07-05;67.1
2020-07-04;66.7
2020-07-02;66.9
2020-06-30;66.7
2020-06-29;66.7
2020-06-28;67.2
2020-06-27;68.1
2020-06-10;67.6
2020-05-05;68.6
2020-04-29;68
2020-04-28;67.7
2020-04-27;67.7
2020-04-26;67.6
2020-04-20;68.7
2020-02-05;68.7
2019-11-18;67.7
2019-10-02;67.7
2019-09-30;67.5
2019-08-30;65.8
2019-07-25;65.8
2019-07-22;66.4
2019-07-21;66.4
2019-07-19;65.7
2019-07-11;65.8
2019-07-08;65.9
2019-07-07;66.2
2019-07-04;66.4
2019-07-03;66.6
2019-07-01;66.7
2019-04-08;65.4
2019-04-05;64.9
2019-04-02;64.7
2019-04-01;65
2019-01-07;65.2
2018-11-05;64.1
2018-10-24;64.7
2018-10-19;64.1
2018-10-17;64.5
2018-10-15;63.8
2018-10-04;62.9
2018-09-10;64.4
2018-09-06;64
2018-08-29;63.6
2018-08-28;63.6
2018-08-27;63.9
2018-08-26;63.3
2018-08-24;63.6
2018-08-22;63.9
2018-07-03;64
2018-06-28;62
2018-04-12;62
2017-10-16;63
2017-07-08;62
2017-07-07;62
